timestamp,epoch,step,global_step,loss,lr
2025-12-05T15:05:29.487064,1,100,99,3704.013887,0.00005525
2025-12-05T15:05:51.189466,1,200,199,5.959313,0.00011105
2025-12-05T15:06:12.930234,1,300,299,5.312700,0.00016685
2025-12-05T15:06:34.501737,1,400,399,5.057652,0.00022266
2025-12-05T15:06:56.630576,1,500,499,4.724557,0.00027846
2025-12-05T15:07:18.946297,1,600,599,4.567476,0.00033426
2025-12-05T15:07:40.492531,1,700,699,4.334657,0.00039007
2025-12-05T15:08:02.592685,1,800,799,4.119045,0.00044587
2025-12-05T15:08:24.630778,1,900,899,4.033085,0.00050167
2025-12-05T15:08:46.739778,1,1000,999,3.924176,0.00055748
2025-12-05T15:09:09.566904,1,1100,1099,3.854071,0.00055804
2025-12-05T15:09:31.594155,1,1200,1199,3.806823,0.00055803
2025-12-05T15:09:52.701447,1,1300,1299,3.777390,0.00055803
2025-12-05T15:10:13.302139,1,1400,1399,3.769238,0.00055803
2025-12-05T15:10:34.576642,1,1500,1499,3.725861,0.00055803
2025-12-05T15:10:56.153948,1,1600,1599,3.717134,0.00055803
2025-12-05T15:11:17.521382,1,1700,1699,3.680967,0.00055802
2025-12-05T15:11:38.864088,1,1800,1799,3.664256,0.00055802
2025-12-05T15:12:00.647142,1,1900,1899,3.625926,0.00055801
2025-12-05T15:12:22.406161,1,2000,1999,3.703268,0.00055801
2025-12-05T15:12:46.390642,1,2100,2099,3.647388,0.00055800
2025-12-05T15:13:09.739321,1,2200,2199,3.602028,0.00055800
2025-12-05T15:13:33.060425,1,2300,2299,3.577321,0.00055799
2025-12-05T15:13:56.348300,1,2400,2399,3.580915,0.00055798
2025-12-05T15:14:18.900241,1,2500,2499,3.567256,0.00055797
2025-12-05T15:14:42.371717,1,2600,2599,3.555208,0.00055796
2025-12-05T15:15:05.655206,1,2700,2699,3.548615,0.00055796
2025-12-05T15:27:33.994370,1,100,99,3704.013887,0.00005525
2025-12-05T15:27:55.535836,1,200,199,5.959313,0.00011105
2025-12-05T15:28:16.575820,1,300,299,5.312700,0.00016685
2025-12-05T15:28:38.071588,1,400,399,5.057652,0.00022266
2025-12-05T15:28:59.555726,1,500,499,4.724557,0.00027846
2025-12-05T15:29:21.272829,1,600,599,4.567476,0.00033426
2025-12-05T15:29:42.428981,1,700,699,4.334657,0.00039007
2025-12-05T15:30:04.158049,1,800,799,4.119045,0.00044587
2025-12-05T15:30:25.312322,1,900,899,4.033085,0.00050167
2025-12-05T15:30:46.632295,1,1000,999,3.924176,0.00055748
2025-12-05T15:31:22.644585,1,1100,1099,3.854071,0.00055804
2025-12-05T15:31:45.068115,1,1200,1199,3.806823,0.00055803
2025-12-05T15:32:06.208552,1,1300,1299,3.777390,0.00055803
2025-12-05T15:32:27.889993,1,1400,1399,3.769238,0.00055803
2025-12-05T15:32:49.876256,1,1500,1499,3.725861,0.00055803
2025-12-05T15:33:11.938351,1,1600,1599,3.717134,0.00055803
2025-12-05T15:33:34.001314,1,1700,1699,3.680967,0.00055802
2025-12-05T15:33:56.082111,1,1800,1799,3.664256,0.00055802
2025-12-05T15:34:18.712173,1,1900,1899,3.625926,0.00055801
2025-12-05T15:34:40.838998,1,2000,1999,3.703268,0.00055801
2025-12-05T15:35:16.470415,1,2100,2099,3.647388,0.00055800
2025-12-05T15:35:37.388712,1,2200,2199,3.602028,0.00055800
2025-12-05T15:35:58.831166,1,2300,2299,3.577321,0.00055799
2025-12-05T15:36:20.203232,1,2400,2399,3.580915,0.00055798
2025-12-05T15:36:41.165275,1,2500,2499,3.567256,0.00055797
2025-12-05T15:37:02.263268,1,2600,2599,3.555208,0.00055796
2025-12-05T15:37:23.649153,1,2700,2699,3.548615,0.00055796
2025-12-05T15:37:44.918746,1,2800,2799,3.522402,0.00055795
2025-12-05T15:38:05.388854,1,2900,2899,3.550946,0.00055794
2025-12-05T15:38:26.800366,1,3000,2999,3.565529,0.00055793
2025-12-05T15:39:01.621903,1,3100,3099,3.496339,0.00055791
2025-12-05T15:39:23.360177,1,3200,3199,3.507031,0.00055790
2025-12-05T15:39:44.965591,1,3300,3299,3.482071,0.00055789
2025-12-05T15:40:06.856765,1,3400,3399,3.497670,0.00055788
2025-12-05T15:40:29.306881,1,3500,3499,3.460944,0.00055786
2025-12-05T15:40:51.146404,1,3600,3599,3.445160,0.00055785
2025-12-05T15:41:12.733296,1,3700,3699,3.445731,0.00055783
2025-12-05T15:41:34.447629,1,3800,3799,3.464196,0.00055782
2025-12-05T15:41:56.283754,1,3900,3899,3.440099,0.00055780
2025-12-05T15:42:18.591655,1,4000,3999,3.435874,0.00055779
2025-12-05T15:42:54.069945,1,4100,4099,3.450997,0.00055777
2025-12-05T15:43:15.784098,1,4200,4199,3.426360,0.00055775
2025-12-05T15:43:37.366267,1,4300,4299,3.428577,0.00055773
2025-12-05T15:43:59.380653,1,4400,4399,3.439580,0.00055772
2025-12-05T15:44:20.950397,1,4500,4499,3.436983,0.00055770
2025-12-05T15:44:42.718181,1,4600,4599,3.424843,0.00055768
2025-12-05T15:45:05.043079,1,4700,4699,3.400070,0.00055766
2025-12-05T15:45:26.717830,1,4800,4799,3.424047,0.00055764
2025-12-05T15:45:48.605345,1,4900,4899,3.401745,0.00055761
2025-12-05T15:46:10.693508,1,5000,4999,3.388370,0.00055759
2025-12-05T15:46:47.377391,1,5100,5099,3.416011,0.00055757
2025-12-05T15:47:08.613826,1,5200,5199,3.403772,0.00055755
2025-12-05T15:47:30.166641,1,5300,5299,3.373080,0.00055752
2025-12-05T15:47:51.665672,1,5400,5399,3.390606,0.00055750
2025-12-05T15:48:13.091171,1,5500,5499,3.400754,0.00055748
2025-12-05T15:48:34.567756,1,5600,5599,3.399050,0.00055745
2025-12-05T15:48:56.466865,1,5700,5699,3.390770,0.00055742
2025-12-05T15:49:17.226494,1,5800,5799,3.371197,0.00055740
2025-12-05T15:49:38.630941,1,5900,5899,3.371296,0.00055737
2025-12-05T15:49:59.835163,1,6000,5999,3.367858,0.00055734
2025-12-05T15:50:34.926654,1,6100,6099,3.367799,0.00055732
2025-12-05T15:50:56.399412,1,6200,6199,3.389830,0.00055729
2025-12-05T15:51:18.168402,1,6300,6299,3.374937,0.00055726
2025-12-05T15:51:40.068515,1,6400,6399,3.374672,0.00055723
